Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,What is your age?,What is your gender?,Other - Write In:What is your gender?,Which of the following best describes your race?,Other - Write In:Which of the following best describes your race?,Treatment/Control,,Please watch this short 2-minute video. You will be able to access the next question in 2 minutes.,Please watch this short 2-minute video. You will be able to access the next question in 2 minutes.,"On a scale from 0-100, how interested in politics are you?"
11,13/11/15 16:08,13/11/15 16:11,Complete,,,,English,,,1447705349_564a3b05c19047.42320163,"Mozilla/5.0 (Linux; Android 5.1.1; D5803 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) ","Mozilla/5.0 (Linux; Android 5.1.1; D5803 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",,152.78.1.81,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Control,,,,51
12,13/11/15 16:15,13/11/15 16:15,Partial,,,,English,https://m.facebook.com/,https://m.facebook.com/,1447705349_564a3b05c40138.99534175,"Mozilla/5.0 (Linux; Android 5.0; E2303 Build/26.1.A.2.99) AppleWebKit/537.36 (KHTML, like Gecko) Chr","Mozilla/5.0 (Linux; Android 5.0; E2303 Build/26.1.A.2.99) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36",,192.38.110.144,12.58329964,55.66669846,Denmark,Copenhagen,17,1513,18-24,Male,,White,,,,,,
13,13/11/15 16:15,13/11/15 16:34,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705349_564a3b05c5c0c9.05837218,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safa","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36",,152.78.0.10,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Treatment,,,,80
14,13/11/15 16:18,13/11/15 16:21,Complete,,,,English,http://m.facebook.com,http://m.facebook.com,1447705349_564a3b05c783b6.86112881,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 [FBAN/MessengerForiOS;FBAV/48.0.0.20.47;FBBV/17291106;FBDV/iPhone5,4;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.1;FBSS/2; FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5]",,81.106.20.68,-1.405500054,50.94630051,United Kingdom,Southampton,M4,SO16,18-24,Male,,White,,Control,,,,40
15,13/11/15 16:23,13/11/15 16:23,Partial,,,,English,http://m.facebook.com,http://m.facebook.com,1447705349_564a3b05c92a76.13281827,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 [FBAN/MessengerForiOS;FBAV/48.0.0.20.47;FBBV/17291106;FBDV/iPhone5,4;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.1;FBSS/2; FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5]",,81.106.20.68,-1.405500054,50.94630051,United Kingdom,Southampton,M4,SO16,18-24,Male,,White,,,,,,
16,13/11/15 16:24,13/11/15 16:25,Complete,,,,English,http://m.facebook.com,http://m.facebook.com,1447705349_564a3b05cd4ba6.48489290,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 [FBAN/FBIOS;FBAV/42.0.0.40.154;FBBV/16331253;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.1;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_GB;FBOP/5]",,82.13.161.117,-1.405500054,50.94630051,United Kingdom,Southampton,M4,SO16,18-24,Female,,White,,Treatment,,,,20
17,13/11/15 16:30,13/11/15 16:33,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705349_564a3b05d012a3.32697109,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36",,82.23.154.28,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,Other - Write In,African-Caucasian,Treatment,,,,95
18,13/11/15 16:38,13/11/15 16:42,Complete,,,,English,http://l.facebook.com/lsr.php?u=http%3A%2F%2Fj.mp%2Fsocial_research_survey&ext=1447450796&hash=AclWD,http://l.facebook.com/lsr.php?u=http%3A%2F%2Fj.mp%2Fsocial_research_survey&ext=1447450796&hash=AclWDojTsIf_vknTHRmiI9ZPDUoPvtEGqU8MqQ5Z4ot6aQ,1447705349_564a3b05d464e8.40413596,"Mozilla/5.0 (Linux; Android 5.1.1; MotoG3 Build/LPI23.72-47) AppleWebKit/537.36 (KHTML, like Gecko) ","Mozilla/5.0 (Linux; Android 5.1.1; MotoG3 Build/LPI23.72-47) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",,95.147.179.30,-3.698199987,50.4054985,United Kingdom,Totnes,D4,TQ9,35-54,Female,,White,,Treatment,,,,30
19,13/11/15 16:48,13/11/15 16:51,Complete,,,,English,,,1447705349_564a3b05d92943.92423340,"Mozilla/5.0 (Linux; Android 5.0.2; XT1072 Build/LXB22.46-28) AppleWebKit/537.36 (KHTML, like Gecko) ","Mozilla/5.0 (Linux; Android 5.0.2; XT1072 Build/LXB22.46-28) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.93 Mobile Safari/537.36",,87.115.248.74,-0.129999995,51.5,United Kingdom,,,,18-24,Prefer not to answer,,White,,Treatment,,,,92
20,13/11/15 16:54,13/11/15 16:58,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705349_564a3b05dde0d8.19908368,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safa","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36",,152.78.0.10,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Control,,,,80
21,13/11/15 16:31,13/11/15 17:20,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705349_564a3b05e09661.24552056,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,152.78.36.206,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Female,,Asian,,Treatment,,,,80
22,13/11/15 17:32,13/11/15 17:34,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705349_564a3b05e48619.11017677,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,82.19.92.249,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Treatment,,,,0
23,13/11/15 18:06,13/11/15 18:09,Complete,,,,English,,,1447705349_564a3b05e7ab36.41701750,"Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome","Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",,92.40.249.39,-0.129999995,51.5,United Kingdom,,,,18-24,Male,,White,,,,,,8
24,13/11/15 18:27,13/11/15 18:31,Complete,,,,English,,,1447705349_564a3b05e9aa48.48300294,"Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome","Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",,82.28.82.64,-1.350000024,51.08330154,United Kingdom,Winchester,F2,SO22,18-24,Male,,White,,,,,,70
25,13/11/15 19:43,13/11/15 19:46,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705349_564a3b05ecf657.85266218,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",,78.151.62.85,-2.633300066,50.95000076,United Kingdom,Yeovil,M3,BA21,18-24,Male,,White,,Treatment,,,,26
26,14/11/15 06:26,14/11/15 06:27,Partial,,,,English,,,1447705349_564a3b05f25001.31644542,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 Twitter for iPhone",,86.129.190.82,-0.157700002,51.38399887,United Kingdom,Mitcham,I4,CR4,18-24,Male,,White,,,,,,
27,14/11/15 08:14,14/11/15 08:16,Partial,,,,English,,,1447705350_564a3b0601b441.76929510,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,152.78.1.77,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Control,,,,
28,14/11/15 09:47,14/11/15 09:50,Complete,,,,English,,,1447705350_564a3b06074ce0.82296444,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/46.0.2490.73 Mobile/13B143 Safari/600.1.4",,81.106.20.16,-1.405500054,50.94630051,United Kingdom,Southampton,M4,SO16,18-24,Male,,Black/African-American,,Control,,,,100
29,14/11/15 10:14,14/11/15 10:15,Partial,,,,English,,,1447705350_564a3b060a98a3.07519253,"Mozilla/5.0 (Linux; Android 5.1.1; D5803 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) ","Mozilla/5.0 (Linux; Android 5.1.1; D5803 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/42.0.2311.133 Mobile Safari/537.36",,94.197.121.170,-0.129999995,51.5,United Kingdom,,,,18-24,Female,,White,,,,,,
30,14/11/15 10:17,14/11/15 10:21,Complete,,,,English,,,1447705350_564a3b060d92b2.37643845,"Mozilla/5.0 (Linux; Android 4.4.3; HTC Desire 510 Build/KTU84L) AppleWebKit/537.36 (KHTML, like Geck","Mozilla/5.0 (Linux; Android 4.4.3; HTC Desire 510 Build/KTU84L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",,82.19.124.222,-1.405500054,50.94630051,United Kingdom,Southampton,M4,SO16,18-24,Male,,White,,Treatment,,,,71
31,14/11/15 10:17,14/11/15 10:20,Complete,,,,English,,,1447705350_564a3b06110105.89912675,"Mozilla/5.0 (Linux; Android 5.0.2; MotoE2(4G-LTE) Build/LXI22.50-53.8) AppleWebKit/537.36 (KHTML, li","Mozilla/5.0 (Linux; Android 5.0.2; MotoE2(4G-LTE) Build/LXI22.50-53.8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",,82.19.124.222,-1.405500054,50.94630051,United Kingdom,Southampton,M4,SO16,18-24,Male,,White,,Control,,,,73
32,14/11/15 10:22,14/11/15 10:24,Complete,,,,English,,,1447705350_564a3b0612a4d9.33248841,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",,82.27.197.225,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Female,,White,,Control,,,,55
33,14/11/15 10:22,14/11/15 10:22,Partial,,,,English,,,1447705350_564a3b06143952.04199704,"Mozilla/5.0 (Linux; Android 4.4.3; HTC Desire 510 Build/KTU84L) AppleWebKit/537.36 (KHTML, like Geck","Mozilla/5.0 (Linux; Android 4.4.3; HTC Desire 510 Build/KTU84L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",,82.19.124.222,-1.405500054,50.94630051,United Kingdom,Southampton,M4,SO16,18-24,Male,,White,,,,,,
34,14/11/15 10:22,14/11/15 10:25,Complete,,,,English,,,1447705350_564a3b06163f02.19058721,"Mozilla/5.0 (Linux; Android 5.1.1; D5803 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) ","Mozilla/5.0 (Linux; Android 5.1.1; D5803 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/42.0.2311.133 Mobile Safari/537.36",,94.197.121.170,-0.129999995,51.5,United Kingdom,,,,18-24,Female,,White,,Treatment,,,,87
35,14/11/15 10:29,14/11/15 10:29,Complete,,,,English,,,1447705350_564a3b06187920.71384918,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",,86.154.144.215,-2,50.71670151,United Kingdom,Poole,K5,BH15,18-24,Female,,White,,Treatment,,,,50
36,14/11/15 11:02,14/11/15 11:04,Complete,,,,English,https://t.co/ABjlNvBaHy,https://t.co/ABjlNvBaHy,1447705350_564a3b061a3a81.12297655,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36",,82.24.157.230,-1.885100007,52.54570007,United Kingdom,Birmingham,A7,B44,18-24,Female,,White,,Control,,,,70
37,14/11/15 11:02,14/11/15 11:07,Complete,,,,English,,,1447705350_564a3b061c92c6.12226969,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",,78.147.17.207,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Female,,White,,Treatment,,,,22
38,14/11/15 11:12,14/11/15 11:15,Complete,,,,English,,,1447705350_564a3b061f3454.81840564,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 Twitter for iPhone",,94.118.82.248,-0.2667,51.59999847,United Kingdom,Edgware,A2,HA8,25-34,Male,,White,,Control,,,,100
39,14/11/15 11:52,14/11/15 12:04,Complete,,,,English,https://www.facebook.com,https://www.facebook.com,1447705350_564a3b0621f999.17153984,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,152.78.0.175,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Female,,White,,Treatment,,,,90
40,14/11/15 12:08,14/11/15 12:10,Complete,,,,English,http://m.facebook.com,http://m.facebook.com,1447705350_564a3b06249216.87750734,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 [FBAN/MessengerForiOS;FBAV/45.0.0.20.227;FBBV/16324485;FBDV/iPhone6,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.1;FBSS/2; FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5]",,31.93.239.4,-0.129999995,51.5,United Kingdom,,,,18-24,Female,,White,,Control,,,,66
41,14/11/15 13:52,14/11/15 13:55,Complete,,,,English,,,1447705350_564a3b06266983.41269304,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 Twitter for iPhone",,86.129.22.102,-3.154500008,51.51440048,United Kingdom,Cardiff,X5,CF23,18-24,Female,,White,,Treatment,,,,15
42,14/11/15 14:14,14/11/15 14:14,Partial,,,,English,,,1447705350_564a3b062c29c2.48174893,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",,192.150.182.219,-2.216700077,53.5,United Kingdom,Manchester,I2,M40,18-24,Female,,White,,,,,,
43,14/11/15 16:53,14/11/15 16:56,Complete,,,,English,https://t.co/9AzE7ve5cC,https://t.co/9AzE7ve5cC,1447705350_564a3b062de998.67678732,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 Twitter for iPhone",,92.40.248.115,-0.129999995,51.5,United Kingdom,,,,18-24,Female,,White,,Control,,,,100
44,14/11/15 18:12,14/11/15 18:15,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705350_564a3b062f98f9.05218742,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,79.66.218.195,-0.199300006,51.4803009,United Kingdom,London,H9,SW6,25-34,Male,,White,,Treatment,,,,100
45,14/11/15 20:02,14/11/15 20:05,Complete,,,,English,,,1447705350_564a3b06328042.18816564,"Mozilla/5.0 (Linux; Android 4.4.2; GT-I9195 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chr","Mozilla/5.0 (Linux; Android 4.4.2; GT-I9195 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",,80.1.104.46,-0.270099998,51.33050156,United Kingdom,Epsom,N7,KT19,18-24,Female,,White,,Treatment,,,,81
46,15/11/15 07:15,15/11/15 07:17,Complete,,,,English,http://m.facebook.com,http://m.facebook.com,1447705350_564a3b06347648.23978379,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 [FBAN/FBIOS;FBAV/43.0.0.26.314;FBBV/17000587;FBDV/iPhone6,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.1;FBSS/2; FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5]",,82.20.236.88,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Female,,White,,Treatment,,,,70
