ï»¿article_link_1,article_link_1/_text,article_link_1/_title,article_image,article_image/_alt,article_link_2,article_link_2/_text,article_link_2/_title,sourcepref_value,label,date_value,date_value_dates,snippet_description,snippet_description_dates,snippet_value,_PAGE_NUMBER
,,,,,"http://www.thenews.com.pk/Todays-News-1-353716-Britain-should-join-Syria-air-strikes,-Cameron-tells-MPs","Britain should join Syria air strikes, Cameron tells MPs",,The News International,-,â€_13 hours agoâ€_,,"LONDON: Britain should join air strikes against the Islamic State group in Syria and should not ""sub-contract"" its security to allies, Prime Minister David Cameron said on Thursday in a written statement to MPs. ""I believe that we should now take the",,...,1
http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12019854/Jeremy-Corbyn-facing-resignations-as-shadow-cabinet-back-David-Cameron-air-strikes.html,,Telegraph.co.uk,https://t2.gstatic.com/images?q=tbn:ANd9GcQ_fLEI8YcsmIUZN1PQGDHGuhRd3VcSpWjb_0WAphlbgXq7vAkUZynqT8K6-_u1WfYPkZsvANhi,,http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12019854/Jeremy-Corbyn-facing-resignations-as-shadow-cabinet-back-David-Cameron-air-strikes.html,Jeremy Corbyn facing resignations as shadow cabinet back David Cameron air strikes,,Telegraph.co.uk,-,â€_17 hours agoâ€_,,Jeremy Corbyn was last night facing mass resignations as his shadow cabinet publicly turned on him and pledged to back David Cameron over Syrian air strikes. Ministers accused Mr Corbyn of being â€œfundamentally dishonestâ€ù and treating them with ...,,,1
http://www.straitstimes.com/world/europe/cameron-makes-case-for-air-strikes-in-syria,,The Straits Times,https://t0.gstatic.com/images?q=tbn:ANd9GcQtJYKzjaaF4CDcbB1xDtveQP0xEwK3qtHh_-l47QNO7TH5efguRlm2Kpaa3Ip_dK6mUAaZqdw,,http://www.straitstimes.com/world/europe/cameron-makes-case-for-air-strikes-in-syria,Cameron makes case for air strikes in Syria,,The Straits Times,-,â€_18 hours agoâ€_,,"MONDAY: President Francois Hollande (above, centre left) met British Prime Minister David Cameron to muster support for a â€œglobal fightâ€ù against the Islamic State in Iraq and Syria. At a joint press conference in Paris, the British PM promised to push",,...,1
http://www.independent.co.uk/voices/comment/air-strikes-in-syria-david-cameron-strategy-can-only-repeat-our-mistakes-in-iraq-and-afghanistan-a6750601.html,,The Independent,https://t1.gstatic.com/images?q=tbn:ANd9GcRR1f7hOH2GrykoAorEx3i22NKteZ7C6PUA_QBcpgdnAsdn57GTg16B1kBVKjI2BSwaeQhtBZ2p,,http://www.independent.co.uk/voices/comment/air-strikes-in-syria-david-cameron-strategy-can-only-repeat-our-mistakes-in-iraq-and-afghanistan-a6750601.html,Air strikes in Syria: David Cameron's strategy can only repeat our mistakes in ...,,The Independent,-,â€_19 hours agoâ€_,,"David Cameron's plan for joining the war in Syria is a worrying document, full of wishful thinking about the political and military situation on the ground. It is a recipe for repeating past failures in Iraq, Afghanistan and Libya, by misjudging the",,...,1
http://www.bbc.co.uk/news/world-34939549,,BBC News,https://t0.gstatic.com/images?q=tbn:ANd9GcRgl6w6GOniohIPgepz15l6EenClMuUAZKG7mEPDCxMvIfI4uf50ZMZEvELCrYSWLLo0-nPKLem,,http://www.bbc.co.uk/news/world-34939549,Does British action in Syria make military sense?,,BBC News,-,â€_19 hours agoâ€_,,"Prime Minister David Cameron has said launching UK air strikes against Islamic State militants in Syria will ""make us safer"". He denied claims it would make the UK a bigger target for terror attacks, as he made the case for military action to MPs in",,...,1
http://www.independent.co.uk/news/world/middle-east/syria-air-strikes-at-least-five-children-killed-in-raqqa-school-as-britain-debates-joining-bombing-a6750591.html,,The Independent,https://t1.gstatic.com/images?q=tbn:ANd9GcTWirPNFphIshLaAO187jEz_z_f8om7TzH9QUzUTwbmI2IdGKugU2ANk7nZgVtSpTPIFz-27HGP,,http://www.independent.co.uk/news/world/middle-east/syria-air-strikes-at-least-five-children-killed-in-raqqa-school-as-britain-debates-joining-bombing-a6750591.html,Syria air strikes: 'At least five children killed' in Raqqa school as Britain ...,,The Independent,-,â€_19 hours agoâ€_,,"At least five children have been killed in an air strike on a school in Isis' Syrian stronghold of Raqqa, activists report. Raqqa is Being Slaughtered Silently (RBSS), a collective of citizen journalists chronicling the extremist group's atrocities",,...,1
http://uk.reuters.com/article/2015/11/26/uk-mideast-crisis-syria-britain-idUKKBN0TF2AB20151126,,Reuters UK,https://t2.gstatic.com/images?q=tbn:ANd9GcRftVRJCzt8ORJC6WrN4jxKMUDdzdF2Qw-ht4KQ9XWH8bNyN9rcnFnOKCHWrlKTeH7vow9Z3fNk,,http://uk.reuters.com/article/2015/11/26/uk-mideast-crisis-syria-britain-idUKKBN0TF2AB20151126,France says UK air force needed in Syria to raise pressure on Islamic State,,Reuters UK,-,â€_19 hours agoâ€_,,"PARIS British air force capabilities would make a difference in the fight against Islamic State in Syria, with precision strikes especially increasing pressure on the group, French Defence Minister Jean-Yves Le Drian said in a column on Thursday. The",,...,1
http://www.theguardian.com/politics/2015/nov/26/david-cameron-syria-bombing-vote-parliament-mps-reservations,,The Guardian,https://t2.gstatic.com/images?q=tbn:ANd9GcQRfopwDh3y27sazkfnJqw9o03hbFlEZ2-HuTLCbICtY7NN5nsOK1H8fM1elATPbr7SVjD7NLU,,http://www.theguardian.com/politics/2015/nov/26/david-cameron-syria-bombing-vote-parliament-mps-reservations,Dave the Mighty Slayer calls on MPs to release the bombs on Syria,,The Guardian,-,â€_19 hours agoâ€_,,"Two years after losing a vote to bomb Assad, David Cameron was asking parliament to vote to bomb his opponents, Isis. Photograph: Suzanne Plunkett/Reuters. Contact author. @JohnJCrace. Thursday 26 November 2015 13.54 EST Last modified on ...",1.4485E+12,,1
http://www.euronews.com/newswires/3096466-cameron-says-time-to-join-air-strikes-against-militants-in-syria/,,euronews,https://t3.gstatic.com/images?q=tbn:ANd9GcR7YtVJGTNiLjaOEQU6tAdGHeALAUJQuu8X1u-OkbgbsyTAec-ADXW3Ry6rs3IatnTg2yYUbhE,,http://www.euronews.com/newswires/3096466-cameron-says-time-to-join-air-strikes-against-militants-in-syria/,Cameron says time to bomb militants in Syria,,euronews,-,â€_20 hours agoâ€_,,LONDON (Reuters) â€“ Prime Minister David Cameron said on Thursday it was time to join air strikes against Islamic State in Syria because Britain cannot â€œsubcontract its security to other countriesâ€ù. Many Britons are wary of entering into another war in,,...,1
http://www.dailyrecord.co.uk/news/politics/jeremy-corbyn-wont-back-bombing-6907159,,Scottish Daily Record,https://t0.gstatic.com/images?q=tbn:ANd9GcSpUgM2544rGibWW7qk-G6UfoKQkqcJTKlSrNTideKzs_weD4HFaDpBAzhwWwvGRRk-oxIB6mbJ,,http://www.dailyrecord.co.uk/news/politics/jeremy-corbyn-wont-back-bombing-6907159,Jeremy Corbyn WON'T back bombing Syria he tells Labour MPs throwing shadow ...,,Scottish Daily Record,-,â€_21 hours agoâ€_,,Labour divisions over air strikes burst into the open tonight with Jeremy Corbyn finding himself at odds with the majority of the Shadow Cabinet. The Labour leader has written to all Labour MPs saying he cannot support military action against ISIS in,,...,1
http://www.independent.co.uk/news/uk/politics/syria-air-strikes-debate-bombing-isis-is-a-knee-jerk-reaction-to-paris-attacks-and-would-hit-a6750246.html,,The Independent,https://t1.gstatic.com/images?q=tbn:ANd9GcSN_IhCEpSC2y6JytKapvzYTC7wt1l5wFqlIP6hJuWxiYVQys4o6tdk660lYfLqmdbh_JZieJs,,http://www.independent.co.uk/news/uk/politics/syria-air-strikes-debate-bombing-isis-is-a-knee-jerk-reaction-to-paris-attacks-and-would-hit-a6750246.html,Syria air strikes debate: David Cameron warned that bombing Isis is a knee ...,,The Independent,-,â€_22 hours agoâ€_,,"Bombing Isis targets in Syria would be a knee-jerk reaction to the Paris terror attacks and would hit civilians, a senior researcher at an influential foreign affairs think tank has claimed. David Cameron set out his plan on Thursday to launch RAF air",,...,1
http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12018204/David-Cameron-must-really-want-to-bomb-Syria...-hes-even-being-polite-to-Jeremy-Corbyn.html,,Telegraph.co.uk,https://t1.gstatic.com/images?q=tbn:ANd9GcTAqJiKujXqsjtGW_l5oi2EdbkQbHnki-jSZURmFCBzvALt6WY9vww6TgZ3s4_gTDutWIOdlk6g,,http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12018204/David-Cameron-must-really-want-to-bomb-Syria...-hes-even-being-polite-to-Jeremy-Corbyn.html,David Cameron must really want to bomb Syria... he's even being polite to ...,,Telegraph.co.uk,-,â€_22 hours agoâ€_,,"Normally in the Commons, David Cameron loves nothing better than to put his opponents in their place. Should anyone dare display a hint of dissent â€“ thwack! He dispatches them like a shuttlecock.",,,1
http://www.nytimes.com/2015/11/27/world/europe/david-cameron-britain-syria-isis.html,,New York Times,https://t3.gstatic.com/images?q=tbn:ANd9GcT_sMSjC_xH9ozmveZMcBNGpheTm3P0zThbbQnxCuT7J5YsMLN5i8uZQV1-CDdlNmd304L3DuMP,,http://www.nytimes.com/2015/11/27/world/europe/david-cameron-britain-syria-isis.html,Britain and Germany Test Support for Stronger Steps Against ISIS,,New York Times,-,â€_22 hours agoâ€_,,"LONDON â€” The diplomatic push by President FranÃ§ois Hollande of France to rally allies in the fight against the Islamic State since the Paris terror attacks has begun to stir European capitals, with leaders in both Britain and Germany taking tentative",,...,1
,,,,,http://news.sky.com/story/1594986/pms-syria-fighters-figure-a-magical-number,PM's Syria Fighters Figure A 'Magical Number',,Sky News,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Defence Committee chairman Julian Lewis warns MPs must not decide on Syria strikes on the basis of ""misleading information"". 16:30, UK, Thursday 26 November 2015. Julian Lewis. Play video ""70,000 Figures Is 'Magical'"" ...",1.4485E+12,,1
https://www.rt.com/op-edge/323561-david-cameron-isis-strategy/,,RT,https://t3.gstatic.com/images?q=tbn:ANd9GcTnDjIO7z4Oq3egVTgByLvKxTZeYXcmVqH82PnkEDZC6hZvfGBcWwRAvKGKX98-p2tu4G9XHpDe,,https://www.rt.com/op-edge/323561-david-cameron-isis-strategy/,Cameron's 'deceitful' strategy to get UK Syrian involvement,,RT,-,"â€_Nov 26, 2015â€_",1.4485E+12,"David Cameron said the UK shouldn't subcontract security. I say we should not make ourselves hostage to the actions of others, says Peter Ford, former UK ambassador to Syria. READ MORE: Cameron rules out British ground troops in case for Syria ...",,,1
http://www.marketwatch.com/story/britains-prime-minister-argues-for-uk-launch-of-airstrikes-in-syria-2015-11-26,,MarketWatch,https://t3.gstatic.com/images?q=tbn:ANd9GcTv2arokc5G050pTgCWfp4kiZEV995bM4U7ndYHrQac2FjoGVzfO4uiDlrqTrlBYJGfDb2aNi1F,,http://www.marketwatch.com/story/britains-prime-minister-argues-for-uk-launch-of-airstrikes-in-syria-2015-11-26,Britain's prime minister argues for UK launch of airstrikes in Syria,,MarketWatch,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Britain's Prime Minister David Cameron wants lawmakers' approval to join U.S.-led anti-ISIS campaign. By. JennyGross. British Prime Minister David Cameron presented his case for Britain conducting airstrikes in Syria against Islamic State on Thursday, ...",,,1
http://www.cnn.com/videos/world/2015/11/26/cameron-isis-syria-airstrike-black-sot.cnn,,CNN,https://t3.gstatic.com/images?q=tbn:ANd9GcSTNCYIqniQ9zSgWJkwXL-cDUy_bMWhm3VIQyihNVkpAY1EBFRQ3Idf-oMuQwVmvofMm-1pr34,,http://www.cnn.com/videos/world/2015/11/26/cameron-isis-syria-airstrike-black-sot.cnn,David Cameron pushes for airstrikes in Syria,,CNN,-,"â€_Nov 26, 2015â€_",1.4485E+12,"UK Prime Minister David Cameron is making the case in the British Parliament for airstrikes against ISIS in Syria. CNN's Phil Black reports from London. LONDON, ENGLAND - SEPTEMBER 26: British Prime Minister David Cameron leaves 10 Downing Street ...",,,1
,,,,,http://www.theaustralian.com.au/business/latest/uk-should-join-syria-air-strikes/story-e6frg90f-1227624775844,UK 'should join' Syria air strikes,,The Australian,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Britain should join air strikes against the Islamic State group in Syria and shouldn't ""sub-contract"" its security to allies, Prime Minister David Cameron says. ""I believe that we should now take the decision to extend British air strikes against ISIL",,...,1
http://www.channelnewsasia.com/news/world/cameron-says-time-to/2295794.html,,Channel News Asia,https://t2.gstatic.com/images?q=tbn:ANd9GcR9ffsq27jokY_csxPjpCui8w0O5yxcyysmVIFc4xn-m37bnlq0JCqoc_eEHQnQSpGTni9ynAk,,http://www.channelnewsasia.com/news/world/cameron-says-time-to/2295794.html,Cameron says time to start bombing militants in Syria,,Channel News Asia,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Prime Minister David Cameron said on Thursday it was time to join air strikes against Islamic State in Syria because Britain cannot ""subcontract its security to other countries"". POSTED: 26 Nov 2015 18:00; UPDATED: 27 Nov 2015 02:45. VIDEOS; PHOTOS ...",1448496000000; 1448582400000,,1
,,,,,http://www.euronews.com/2015/11/26/britain-s-parliament-debates-cameron-s-call-to-air-war-in-syria/,Britain's parliament debates Cameron's call to air war in Syria,,euronews,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Westminster was packed on Thursday as Prime Minister David Cameron laid out his case for intervention in Syria. A vote will be held on extending the RAF's bombing campaign against ISIL into Syria will be taken early next week, and MPs insisted on ...",,,1
https://www.bostonglobe.com/news/world/2015/11/26/must-attack-isis-syria-deny-group-safe-haven-cameron-says/G8eAXH4nJB8hETjQgEBNiO/story.html,,The Boston Globe,https://t1.gstatic.com/images?q=tbn:ANd9GcRw9fVFuU1VObRVvSFw5DTYuxhC_fHD9aB7oea0_8okzC6piNuyAt1oR-36Y4_IGFX7Qeuw6uk,,https://www.bostonglobe.com/news/world/2015/11/26/must-attack-isis-syria-deny-group-safe-haven-cameron-says/G8eAXH4nJB8hETjQgEBNiO/story.html,"UK must attack ISIS in Syria to deny group safe haven, Cameron says",,The Boston Globe,-,"â€_Nov 26, 2015â€_",1.4485E+12,"LONDON (AP) â€” Prime Minister David Cameron says Britain owes it to allies France and the United States to join airstrikes against the Islamic State group in Syria. Cameron is trying to persuade reluctant lawmakers to back action, arguing that the",,...,2
http://tribune.com.pk/story/998797/britains-cameron-says-time-to-start-bombing-militants-in-syria/,,The Express Tribune,https://t0.gstatic.com/images?q=tbn:ANd9GcSFnxNDHZFT2DzwGOYZHzN6DyK5pfa7xkVN1571oRgS9OQYSeOCPNu5ROWH1VY2ZsDIye802ys,,http://tribune.com.pk/story/998797/britains-cameron-says-time-to-start-bombing-militants-in-syria/,Britain's Cameron says time to start bombing militants in Syria,,The Express Tribune,-,"â€_Nov 26, 2015â€_",1.4485E+12,"LONDON: Prime Minister David Cameron told lawmakers on Thursday it was time to join air strikes against Islamic State militants in Syria, saying Britain cannot â€œsubcontract its security to other countriesâ€ù. Cameron, who lost a vote on air strikes",,...,2
http://www.cbc.ca/news/world/cameron-uk-isis-syria-airstrikes-1.3337743,,CBC.ca,https://t1.gstatic.com/images?q=tbn:ANd9GcRNo1cxh0y2uFYXKgJupFFo-6FF1UMuRDrLnm9OMlQNAwwD2NR3FaXZuODeLwrXKHmVoMtZtjIB,,http://www.cbc.ca/news/world/cameron-uk-isis-syria-airstrikes-1.3337743,UK PM David Cameron says time to join airstrikes against ISIS in Syria,,CBC.ca,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Prime Minister David Cameron tried to persuade reluctant lawmakers to back airstrikes on the Islamic State group in Syria, saying Thursday that the Paris attacks have given the fight new urgency and Britain owes it to key allies to act. Cameron told",,...,2
,,,,,http://www.foxnews.com/world/2015/11/26/uk-cameron-britain-must-expand-anti-is-airstrikes-to-syria-to-deny-group-safe/,UK's Cameron: Britain must expand anti-IS airstrikes to Syria to deny group ...,,Fox News,-,"â€_Nov 26, 2015â€_",1.4485E+12,"LONDON â€“ Prime Minister David Cameron says Britain must join airstrikes in Syria to deny the Islamic State group a ""safe haven"" from which to plot mass-casualty attacks around the world. Cameron is trying to persuade lawmakers to back action, arguing",,...,2
http://www.belfasttelegraph.co.uk/news/uk/cameron-consensus-building-over-military-action-against-is-34235663.html,,Belfast Telegraph,https://t2.gstatic.com/images?q=tbn:ANd9GcQNjYnp-Ys2JiRUTkFaeA768w6KSCnjFXYPM09yS_C-VcX8Pn3ejTvwpNVKBtZURGrdyZqVmVY,,http://www.belfasttelegraph.co.uk/news/uk/cameron-consensus-building-over-military-action-against-is-34235663.html,Cameron: 'Consensus building' over military action against IS,,Belfast Telegraph,-,"â€_Nov 26, 2015â€_",1.4485E+12,"A consensus is building behind military action against Islamic State (IS) in Syria, the Government believes, after David Cameron warned that the jihadist group views the UK as a ""top tier"" target. The Prime Minister urged MPs to protect the British",,...,2
http://metro.co.uk/2015/11/26/david-cameron-sets-out-plans-for-syria-air-strikes-5526680/,,Metro,https://t1.gstatic.com/images?q=tbn:ANd9GcQA9Fu9vW6Ywy-f-kh_-ds6PNry-y-8gE3iLv34zbcvr9Cuv0cNj5wkrW_HOrm1KGcs_9PXkfDv,,http://metro.co.uk/2015/11/26/david-cameron-sets-out-plans-for-syria-air-strikes-5526680/,David Cameron sets out plans for Syria air strikes on ISIS 'safe haven',,Metro,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Britain 'cannot afford' to stand aside from the fight against the Islamic State terror group in Syria, David Cameron has said. The Prime Minister set out his case for the extension of RAF airstrikes from Iraq into Syria in a written response to a",,...,2
http://www.thestar.com.my/News/World/2015/11/26/Labour-Party-says-considering-free-vote-for-lawmakers-on-Syria-airstrikes/,,The Star Online,https://t3.gstatic.com/images?q=tbn:ANd9GcSMgp52p4AY7CqkjWA0qm09JiC1mHvS6d61bHIZ2PUzK2bX6ADci6i3wKw4jmvbd6Gem-GQAWo,,http://www.thestar.com.my/News/World/2015/11/26/Labour-Party-says-considering-free-vote-for-lawmakers-on-Syria-airstrikes/,Labour Party says considering 'free vote' for lawmakers on Syria airstrikes,,The Star Online,-,"â€_Nov 26, 2015â€_",1.4485E+12,"LONDON (Reuters) - Britain's opposition Labour Party is considering allowing its lawmakers to vote as they wish on whether to approve Prime Minister David Cameron's plan to extend airstrikes to Syria, its finance spokesman said on Thursday. Britain is ...",,,2
http://www.theguardian.com/politics/2015/nov/26/snp-likely-to-oppose-airstrikes-on-isis-in-syria-but-open-to-persuasion,,The Guardian,https://t3.gstatic.com/images?q=tbn:ANd9GcTXxX8r__DxiAuXoytcLQ1dCqDAptiaqSrwGqhthk3TJyLqbuUI5w5BHzdA4FBKQGXRdGtw6xE,,http://www.theguardian.com/politics/2015/nov/26/snp-likely-to-oppose-airstrikes-on-isis-in-syria-but-open-to-persuasion,Syria airstrikes: Cameron to warn of UK Isis plots but SNP likely to oppose action,,The Guardian,-,"â€_Nov 25, 2015â€_",1.44841E+12,French Rafale fighters prepare to take off for an airstrike on the Isis stronghold of Raqqa in Syria. Cameron plans a quick Commons votes on extending airstrikes. Photograph: ABACA/PA. Rowena Mason Political correspondent. Thursday 26 November 2015 ...,1.4485E+12,,2
https://www.rt.com/uk/323412-hague-ground-troops-syria/,,RT,https://t1.gstatic.com/images?q=tbn:ANd9GcT6QWgsh4y03FKUMv2xrF_uBrBkgu59adrMvH1lAHfXXjeb4Py9J5HdAlBTHlBoJqVsqj7lY-U,,https://www.rt.com/uk/323412-hague-ground-troops-syria/,"'Don't rule out British boots on the ground in Syria,' says William Hague",,RT,-,"â€_Nov 25, 2015â€_",1.44841E+12,"British authorities should not exclude the possibility of sending ground troops to Syria if they want to defeat Islamic State (IS, formerly ISIS/ISIL) former Foreign Secretary William Hague has suggested. In a piece for the Telegraph, he argues the",,...,2
http://www.theboltonnews.co.uk/news/national/14107201.Hilary_Benn__will_not_resign__in_protest_at_Corbyn_s_airstrikes_opposition/,,The Bolton News,https://t3.gstatic.com/images?q=tbn:ANd9GcTMYfdG9QHBnNyBPRrInd9ZFcFtIHlRYqAcVROh7UqKS-rVGZlpiLn0tEdll7QaUhHJ4py0nfdO,,http://www.theboltonnews.co.uk/news/national/14107201.Hilary_Benn__will_not_resign__in_protest_at_Corbyn_s_airstrikes_opposition/,Hilary Benn 'will not resign' in protest at Corbyn's airstrikes opposition,,The Bolton News,-,â€_1 hour agoâ€_,,Shadow foreign secretary Hilary Benn has insisted he will not resign in protest at Jeremy Corbyn's opposition to bombing in Syria. Mr Benn backs military action against Islamic State and suggested that Labour may end up agreeing to a free vote on the,,...,2
