ï»¿article_link_1,article_link_1/_text,article_link_1/_title,article_image,article_image/_alt,article_link_2,article_link_2/_text,article_link_2/_title,sourcepref_value,label,date_value,date_value_dates,snippet_description_1,snippet_description_1_dates,snippet_value_1,snippet_description_2,snippet_value_2,snippet_description_3,snippet_value_3,_PAGE_NUMBER
,,,,,http://www.pbs.org/newshour/bb/news-wrap-news-wrap-david-cameron-calls-for-airstrikes-in-syria/,News Wrap: News Wrap: David Cameron calls for airstrikes in Syria,,PBS NewsHour,-,â€_15 hours agoâ€_,,British Prime Minister,,David Cameron,"tried to convince parliament to back airstrikes on the Islamic State in Syria. Also, Belgium lowered its alert level in Brussels today after determining there's no imminent threat of attack. COMMENTS. EMAIL. SUPPORT",...,,,1
http://www.voltairenet.org/article189448.html,,Voltaire Network,https://t3.gstatic.com/images?q=tbn:ANd9GcRppEJ3Ov0tpXXXf7FlMnKS5jhi3yNX7r1KqWTmbTO-eVGaLJ0cU0NppvzeHwYzriNWcziVTsWF,,http://www.voltairenet.org/article189448.html,David Cameron's Response to the Parliament's Report on Syria,,Voltaire Network,-,â€_5 hours agoâ€_,,Whether or not to use military force is one of the most significant decisions that any government takes. The need to do so most often arises because of a government's first duty: the responsibility to protect its citizens. Decisions to use force are,,...,,,,,1
http://www.mirror.co.uk/news/uk-news/david-cameron-ready-war-syria-6909027,,Mirror.co.uk,https://t2.gstatic.com/images?q=tbn:ANd9GcQnxqWdIJ1cvwRI_9MZQxX0lqgIAdJgGiPDp8pEDGullJor0rzoQewV75WtQNoo9z_8vIdDDGg,,http://www.mirror.co.uk/news/uk-news/david-cameron-ready-war-syria-6909027,David Cameron is ready for war in Syria within DAYS - but is Britain?,,Mirror.co.uk,-,â€_16 hours agoâ€_,,Labour's turmoil over bombing ISIS deepened as,,David Cameron,set out the case for launching raids in Syria within days. The Prime Minister has insisted the nation was duty-bound to extend airstrikes on the jihadists. He said it was â€œmorally,...,,,1
http://www.independent.co.uk/news/uk/politics/david-cameron-tells-mps-that-isis-is-not-a-threat-that-can-be-negotiated-away-as-he-sets-out-case-a6749511.html,,The Independent,https://t0.gstatic.com/images?q=tbn:ANd9GcRSb1jCW766r6VwKZgXeaXRMmIJWSGhQAIsctDyXRGwmRuJlJojz4tjv2nE2Co78ODNws_8-9s,,http://www.independent.co.uk/news/uk/politics/david-cameron-tells-mps-that-isis-is-not-a-threat-that-can-be-negotiated-away-as-he-sets-out-case-a6749511.html,"Isis: UK in 'top tier' of targets, David Cameron tells MPs in air strikes debate",,The Independent,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Security chiefs have found that Britain is among the ""top tier"" of countries that Isis is targeting,",,David Cameron,"has told MPs as he warned the UK will ""never be safe"" until the Islamic terrorist group is defeated. Setting out the case for Britain",...,,,1
http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12019470/David-Cameron-launches-Isil-first-case-for-launching-airstrikes-in-Syria.html,,Telegraph.co.uk,https://t0.gstatic.com/images?q=tbn:ANd9GcRUPnbQyInFpi7pLIeVeXnRC6OpYIU84zK05L6eTyiEJDaPlTavV1FSr-qX6C1cHw-SoHg-t4M,,http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12019470/David-Cameron-launches-Isil-first-case-for-launching-airstrikes-in-Syria.html,David Cameron launches 'Isil-first' case for launching airstrikes in Syria,,Telegraph.co.uk,-,â€_21 hours agoâ€_,,Mr,,Cameron,"said. Isil fighters Photo: AFP. The threat. Isil already poses the â€œone of the greatest threats to our securityâ€ù, Mr",Cameron's,"dossier said, and bombing Syria will not increase the risk to the UK because we are already in the â€œtop tierâ€ù of",...,1
http://www.independent.co.uk/news/uk/politics/air-strikes-on-isis-in-syria-how-david-cameron-set-out-his-case-for-war-a6750191.html,,The Independent,https://t0.gstatic.com/images?q=tbn:ANd9GcS2meYMhn1xCzWjsSTbvxrZkCoxr3Ownv52_-kIDba8u-HbXlROMzIAIQzEXWhcIDfdmWW4C-29,,http://www.independent.co.uk/news/uk/politics/air-strikes-on-isis-in-syria-how-david-cameron-set-out-his-case-for-war-a6750191.html,Air strikes on Isis in Syria: How David Cameron set out his case for war,,The Independent,-,"â€_Nov 26, 2015â€_",1.4485E+12,,,David Cameron,claimed that Britain had military assets that would make Coalition airstrikes more effective including a precision missile system which reduced collateral damage allowing more Isis sites to be targeted within civilian areas. He added that ...,,,,1
http://www.independent.co.uk/news/uk/politics/david-cameron-sets-out-case-for-airstrikes-against-isis-in-syria-a6749316.html,,The Independent,https://t1.gstatic.com/images?q=tbn:ANd9GcQMr0HE9JwGbxXGDjqkZB0hXUkkJzKoXFthbC8IHrid__4FYjCT4j0MUSMeBz7MdLeIRTUAx80,,http://www.independent.co.uk/news/uk/politics/david-cameron-sets-out-case-for-airstrikes-against-isis-in-syria-a6749316.html,Isis: David Cameron says we must bomb jihadists in Syria 'to stop terrorism ...,,The Independent,-,"â€_Nov 26, 2015â€_",1.4485E+12,,,David Cameron,"will argue other nations should not be expected to ""carry the burdens and the risks"" of targeting Isis in Syria ""to stop terrorism here in Britain"", as he calls for an extension of British bombing raids into the terror group's heartland",...,,,1
http://www.telegraph.co.uk/news/politics/david-cameron/12018841/David-Camerons-full-statement-calling-for-UK-involvement-in-Syria-air-strikes.html,,Telegraph.co.uk,https://t1.gstatic.com/images?q=tbn:ANd9GcTAqJiKujXqsjtGW_l5oi2EdbkQbHnki-jSZURmFCBzvALt6WY9vww6TgZ3s4_gTDutWIOdlk6g,,http://www.telegraph.co.uk/news/politics/david-cameron/12018841/David-Camerons-full-statement-calling-for-UK-involvement-in-Syria-air-strikes.html,David Cameron's full statement calling for UK involvement in Syria air strikes,,Telegraph.co.uk,-,"â€_Nov 26, 2015â€_",1.4485E+12,"... â€¢ Live coverage of Syria air strikes debate. Mr Speaker, I said I would respond personally to the Foreign Affairs Select Committee Report on extending British military operations to Syria. I have done so today and copies of my response have been",,...,,,,,1
http://www.dailymail.co.uk/news/article-3335749/Can-PM-rule-British-ground-forces-Seven-questions-Corbyn-Cameron-spot-Syria-strikes.html,,Daily Mail,https://t1.gstatic.com/images?q=tbn:ANd9GcSQX6ngyihhfzOuKNPVvCdJJSz06gYy4ivpF9d9E6B4x--DQDM9uMh6PWfzoebwB6UK_1lNYTU,,http://www.dailymail.co.uk/news/article-3335749/Can-PM-rule-British-ground-forces-Seven-questions-Corbyn-Cameron-spot-Syria-strikes.html,Jeremy Corbyn's questions that put David Cameron on the spot,,Daily Mail,-,â€_14 hours agoâ€_,,"1: Does the Prime Minister believe that extending air strikes to Syria will make a significant military impact on the ground, which has so far seen Isil gain, as well as lose territory?",,David Cameron,": It is worth listening to our closest allies, the",...,,,1
http://www.presstv.ir/Detail/2015/11/26/439315/UK-PM-David-Cameron-Syria-Bombing-Campaign,,Press TV,https://t1.gstatic.com/images?q=tbn:ANd9GcTMALs4xNA-O2c2Wkev-iLgbAQZs_lOwSYj195cx6JqlcUuSHD40ErWzeQbI3odPDcMJDiiN-oG,,http://www.presstv.ir/Detail/2015/11/26/439315/UK-PM-David-Cameron-Syria-Bombing-Campaign,UK PM David Cameron Pushes for Syria Bombing Campaign,,Press TV,-,â€_16 hours agoâ€_,,British Prime Minister,,David Cameron,is pushing for a vote on the UK joining the bombing campaign against Daesh targets inside Syria but will hold off on MPs voting until he is assured of victory to avoid the embarrassment of another Commons defeat on,...,,,1
http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12018204/David-Cameron-must-really-want-to-bomb-Syria...-hes-even-being-polite-to-Jeremy-Corbyn.html,,Telegraph.co.uk,https://t1.gstatic.com/images?q=tbn:ANd9GcTAqJiKujXqsjtGW_l5oi2EdbkQbHnki-jSZURmFCBzvALt6WY9vww6TgZ3s4_gTDutWIOdlk6g,,http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12018204/David-Cameron-must-really-want-to-bomb-Syria...-hes-even-being-polite-to-Jeremy-Corbyn.html,David Cameron must really want to bomb Syria... he's even being polite to ...,,Telegraph.co.uk,-,â€_22 hours agoâ€_,,"Normally in the Commons,",,David Cameron,loves nothing better than to put his opponents in their place. Should anyone dare display a hint of dissent â€“ thwack! He dispatches them like a shuttlecock.,,,,1
http://rinf.com/alt-news/editorials/class-war-and-david-cameron/,,RINF Alternative News,https://t2.gstatic.com/images?q=tbn:ANd9GcQSY9PlL_nL6-xg1Y8xJpnbaETWrP1pE30qPvmTVbXsNXdnbJtpl_gEhbC1N6WvEoSRNUtUJAc,,http://rinf.com/alt-news/editorials/class-war-and-david-cameron/,"Class, War and David Cameron",,RINF Alternative News,-,â€_3 hours agoâ€_,,British Prime Minister,,David Cameron,"has said it is time for Britain to join air strikes against Islamic State in Syria (ISIS). After the killing of 130 people in Paris, he feels the tide has now turned in favour of military action against ISIS",...,,,1
http://www.mirror.co.uk/news/uk-news/david-cameron-syria-statement-live-6903554,,Mirror.co.uk,https://t0.gstatic.com/images?q=tbn:ANd9GcThAAS0gKc3Ad64woDIdZ9N_NlrTuXDLeoH9ibp01SYUUfXED0Rg0a7NDuiYZnOZ3OAcvsCEEM,,http://www.mirror.co.uk/news/uk-news/david-cameron-syria-statement-live-6903554,David Cameron Syria statement live: Updates as Prime Minister makes case for ...,,Mirror.co.uk,-,"â€_Nov 26, 2015â€_",1.4485E+12,,,David Cameron,"says regime change is not the aim of his strategy - the target is degrading ISIS. But in the next sentence he says that he, along with a number of other countries in the region, agree that the country needs to be led by someone who is not",...,,,1
http://www.independent.ie/world-news/europe/paris-terror-attacks/germany-to-send-warplanes-to-bomb-syria-as-david-cameron-reveals-36page-british-plan-to-defeat-is-34236146.html,,Irish Independent,https://t2.gstatic.com/images?q=tbn:ANd9GcSGq4CQcmBkomrVOeVBGjeZUHYHgrIjT1SwF-YikxruYfm4gA3zL83VZcRHP-OwoyPTw_TUJwi_,,http://www.independent.ie/world-news/europe/paris-terror-attacks/germany-to-send-warplanes-to-bomb-syria-as-david-cameron-reveals-36page-british-plan-to-defeat-is-34236146.html,Germany to send warplanes to bomb Syria as David Cameron reveals 36-page ...,,Irish Independent,-,â€_6 hours agoâ€_,,French President Francois Hollande (R) escorts British Prime Minister,,David Cameron,". Germany will deploy Tornado reconnaissance jets to support France in the fight against Islamic State militants in Syria, as Britain decides whether to join the allied",...,,,1
http://www.cnn.com/videos/world/2015/11/26/cameron-isis-syria-airstrike-black-sot.cnn,,CNN,https://t3.gstatic.com/images?q=tbn:ANd9GcSTNCYIqniQ9zSgWJkwXL-cDUy_bMWhm3VIQyihNVkpAY1EBFRQ3Idf-oMuQwVmvofMm-1pr34,,http://www.cnn.com/videos/world/2015/11/26/cameron-isis-syria-airstrike-black-sot.cnn,David Cameron pushes for airstrikes in Syria,,CNN,-,"â€_Nov 26, 2015â€_",1.4485E+12,"Added on 7:34 AM ET, Thu November 26, 2015. UK Prime Minister",1.4485E+12,David Cameron,is making the case in the British Parliament for airstrikes against ISIS in Syria. CNN's Phil Black reports from London.,,,,1
http://www.irishtimes.com/news/world/uk/david-cameron-urges-more-airstrikes-in-syria-1.2445196,,Irish Times,https://t3.gstatic.com/images?q=tbn:ANd9GcSphpdC4pRQm0jttOjv510Ran_T0QUYXe8OcEE66_xnb0ERrnrwbeo67NHWgjbMPTkYgmBGqSw,,http://www.irishtimes.com/news/world/uk/david-cameron-urges-more-airstrikes-in-syria-1.2445196,David Cameron urges more airstrikes in Syria,,Irish Times,-,â€_14 hours agoâ€_,,,,David Cameron,"told MPs that attacking Islamic State in Syria would help make the United Kingdom safer, adding that the country could not outsource its security to others. In a lengthy statement outlining the case for extending airstrikes into Syria",...,,,1
http://www.hngn.com/articles/154376/20151126/david-cameron-resolves-strike-isis-syria.htm,,Headlines & Global News,https://t0.gstatic.com/images?q=tbn:ANd9GcTEFD8xM3Thw0gPXEW18H0nSfqvmC2y-Z0FoUliwgrjrrclJjRwoSeEkDfkK2TYTT9KBJAkXVQ,,http://www.hngn.com/articles/154376/20151126/david-cameron-resolves-strike-isis-syria.htm,David Cameron Resolves To Strike ISIS In Syria,,Headlines & Global News,-,â€_19 hours agoâ€_,,British Prime Minister,,David Cameron,"stated on Thursday that it was time for the British forces to join in the airstrikes against the Islamic State militants in Syria, according to the Indian Express. Cameron argued that Britain cannot ""subcontract its",...,,,1
http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12017887/david-cameron-syria-air-strikes-plan-live.html,,Telegraph.co.uk,https://t3.gstatic.com/images?q=tbn:ANd9GcTEXR5cKMOHs6h8yPBYcLjNe-B_kwTZ47jmAG_j72jT_eMLOT-x_ifgztBzapQTakd7Kq9xZEU,,http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12017887/david-cameron-syria-air-strikes-plan-live.html,Jeremy Corbyn isolated as 'majority of shadow cabinet backs air strikes ...,,Telegraph.co.uk,-,"â€_Nov 26, 2015â€_",1.4485E+12,"In the Commons today,",,David Cameron,"said that Britain's contribution to an anti-Isil air campaign on Syria would involve reducing civilian casualties with ""some of the most accurate weapons known to man"". But as Mr Woods points out, that risk cannot be ...",,,,1
http://www.theguardian.com/politics/2015/nov/26/syria-airstrike-case-david-cameron-seven-points-analysis,,The Guardian,https://t1.gstatic.com/images?q=tbn:ANd9GcQS3avsNJMME-BDosMdG8032mLaWmI7-0lX1wv9wLUzUDs9s1azbJaGyDmp3CSkykY_birv9r7O,,http://www.theguardian.com/politics/2015/nov/26/syria-airstrike-case-david-cameron-seven-points-analysis,Does Cameron's seven-point case for Syrian airstrikes stand up?,,The Guardian,-,"â€_Nov 26, 2015â€_",1.4485E+12,This is self-evidently true if we accept the underlying presumption that military action to degrade the terrorists' operational capacity is working â€“ and,,David Cameron,"insists that it is. By extension, he argues that the damage done to Isis",...,,,1
http://www.newstatesman.com/politics/uk/2015/11/david-cameron-seeks-clear-majority-air-strikes-syria-jeremy-corbyn-signals-his,,New Statesman,https://t2.gstatic.com/images?q=tbn:ANd9GcRqy7PHS7Mq83it518guNGJqAn9HGSY4VRUpwduVtLVvh7pf3x4UOX8L0LsSMMx---Gw1FtpeI,,http://www.newstatesman.com/politics/uk/2015/11/david-cameron-seeks-clear-majority-air-strikes-syria-jeremy-corbyn-signals-his,"David Cameron seeks a ""clear majority"" for air strikes in Syria as Jeremy ...",,New Statesman,-,"â€_Nov 26, 2015â€_",1.4485E+12,That was clear from,,David Cameron's,statement on the need for military action and Corbyn's response. Cameron's most significant argument for intervention was that the threat to the UK from terrorism would only increase if it failed to act. The,...,,,1
http://www.independent.co.uk/news/uk/politics/syria-air-strikes-debate-bombing-isis-is-a-knee-jerk-reaction-to-paris-attacks-and-would-hit-a6750246.html,,The Independent,https://t1.gstatic.com/images?q=tbn:ANd9GcSN_IhCEpSC2y6JytKapvzYTC7wt1l5wFqlIP6hJuWxiYVQys4o6tdk660lYfLqmdbh_JZieJs,,http://www.independent.co.uk/news/uk/politics/syria-air-strikes-debate-bombing-isis-is-a-knee-jerk-reaction-to-paris-attacks-and-would-hit-a6750246.html,Syria air strikes debate: David Cameron warned that bombing Isis is a knee ...,,The Independent,-,â€_22 hours agoâ€_,,"Bombing Isis targets in Syria would be a knee-jerk reaction to the Paris terror attacks and would hit civilians, a senior researcher at an influential foreign affairs think tank has claimed.",,David Cameron,set out his plan on Thursday to launch RAF air,...,,,2
http://www.thedrum.com/opinion/2015/11/27/labours-isis-crisis-media-reaction-david-cameron-s-planned-war-isis,,The Drum,https://t0.gstatic.com/images?q=tbn:ANd9GcQwzMWG4FNCNCDDo1w_6HJu9JE5zLW3RAye29DGJeQTXaaLjKSJRXyb66Ljtk7kaoAEXoBpdg,,http://www.thedrum.com/opinion/2015/11/27/labours-isis-crisis-media-reaction-david-cameron-s-planned-war-isis,'Labour's Isis crisis': Media reaction to David Cameron's planned 'war' on Isis,,The Drum,-,â€_2 hours agoâ€_,,"Political spin doctors are a much despised breed. But they do have their uses. And the Labour Party, my party, has sore need of skilled PR support right now. For starters, the internecine war over whether to back",,David Cameron,on the UK joining air,...,,,2
http://www.ibtimes.co.uk/war-isis-jeremy-corbyn-will-not-support-david-camerons-plans-stage-airstrikes-syria-1530690,,International Business Times UK,https://t2.gstatic.com/images?q=tbn:ANd9GcRC3P9Yk29a3dMdjY1d7AAeYiL2YhowIRnA2Rpn0EDeF7Qkbrvn4DrWrOJwpW5S3eQRBUqMey8,,http://www.ibtimes.co.uk/war-isis-jeremy-corbyn-will-not-support-david-camerons-plans-stage-airstrikes-syria-1530690,War on Isis: Jeremy Corbyn will not support David Cameron's plans to stage air ...,,International Business Times UK,-,â€_18 hours agoâ€_,,Jeremy Corbyn has written to his fellow Labour MPs saying he cannot support,,David Cameron's,"plans for air strikes in Syria. The opposition leader appears to have rejected his own shadow cabinet, who are believed to back the prime minister's proposed ...",,,,2
http://www.bbc.co.uk/news/uk-politics-34932208,,BBC News,https://t3.gstatic.com/images?q=tbn:ANd9GcRo7fX_eSKDFaYXBXbxy0YPIt-ydIX8UkuN42NXPBG8SPl7AS9_-ErRpVm2btDaZpSxZclMd0k,,http://www.bbc.co.uk/news/uk-politics-34932208,PM David Cameron outlines strategy to attack IS,,BBC News,-,"â€_Nov 26, 2015â€_",1.4485E+12,,,David Cameron,has presented his case to the Commons for the UK to launch air strikes against Islamic State militants in Syria. The prime minister urged MPs to back military action as part of a comprehensive strategy to tackle IS. He warned of the,...,,,2
http://www.telegraph.co.uk/news/predictions/politics/12018039/Watch-live-David-Cameron-sets-out-case-for-UK-airstrikes-on-Syria.html,,Telegraph.co.uk,https://t1.gstatic.com/images?q=tbn:ANd9GcTAqJiKujXqsjtGW_l5oi2EdbkQbHnki-jSZURmFCBzvALt6WY9vww6TgZ3s4_gTDutWIOdlk6g,,http://www.telegraph.co.uk/news/predictions/politics/12018039/Watch-live-David-Cameron-sets-out-case-for-UK-airstrikes-on-Syria.html,David Cameron sets out case for UK airstrikes on Syria,,Telegraph.co.uk,-,"â€_Nov 26, 2015â€_",1.4485E+12,,,David Cameron,"has appealed for MPs to back British airstrikes against Islamic State (IS) in Syria, asking: ""If not now, when?"" The Prime Minister said the UK could not afford to ""stand aside"" from the fight and it was ""morally"" unacceptable to leave",...,,,2
https://www.pressandjournal.co.uk/fp/news/politics/763176/morally-unacceptable-to-outsource-fight-against-is-in-syria-warns-cameron/,,Aberdeen Press and Journal,https://t3.gstatic.com/images?q=tbn:ANd9GcR67JC1X7T8NPeKlYYUOt8grV7OXzDv09PXkqLws15qDuGrySO2YVxkBJnU9jY0AuKnTRWSQ64,,https://www.pressandjournal.co.uk/fp/news/politics/763176/morally-unacceptable-to-outsource-fight-against-is-in-syria-warns-cameron/,"""Morally"" unacceptable to outsource fight against IS in Syria, warns David Cameron",,Aberdeen Press and Journal,-,â€_5 hours agoâ€_,,,,David Cameron,urged MPs to back air strikes on Islamic State in Syria yesterday â€“ insisting the UK could not â€œstand asideâ€ù and let allies shoulder the burden. But SNP Westminster leader Angus Robertson said his party would not vote in favour of,...,,,2
http://blogs.new.spectator.co.uk/2015/11/listen-david-cameron-makes-his-case-in-the-commons-for-bombing-syria/,,Spectator.co.uk (blog),https://t2.gstatic.com/images?q=tbn:ANd9GcSN5x5PyYHnI2aVwtMjb05IlFV9hctp2hBGYLzba6FwrdZ-pEsax3gmUyK7zXmi7iiPBJqTxkxd,,http://blogs.new.spectator.co.uk/2015/11/listen-david-cameron-makes-his-case-in-the-commons-for-bombing-syria/,Listen: David Cameron makes his case in the Commons for bombing Syria,,Spectator.co.uk (blog),-,"â€_Nov 26, 2015â€_",1.4485E+12,,,David Cameron,has just followed up his earlier response to the Foreign Affairs Select Committee by telling the House of Commons that the UK must now get involved in action against Islamic State in Syria. You can listen below: ...,,,,2
