,country,year,Wbcode,oecd,guerilla,overall.conflict,riots,strikes,demos,assassinations,internet,computers,radios,tvs,newspapers,landlines,mobiles
5075,France,1886,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5076,France,1887,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-04,NA
5077,France,1888,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-04,NA
5078,France,1889,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031,NA
5079,France,1890,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041,NA
5080,France,1891,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00052,NA
5081,France,1892,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00062,NA
5082,France,1893,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00069,NA
5083,France,1894,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00078,NA
5084,France,1895,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00091,NA
5085,France,1896,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00101,NA
5086,France,1897,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00113,NA
5087,France,1898,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00131,NA
5088,France,1899,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00155,NA
5089,France,1900,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00179,NA
5090,France,1901,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00205,NA
5091,France,1902,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,NA
5092,France,1903,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00278,NA
5093,France,1904,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00313,NA
5094,France,1905,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00351,NA
5095,France,1906,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00387,NA
5096,France,1907,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00427,NA
5097,France,1908,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00462,NA
5098,France,1909,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00504,NA
5099,France,1910,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00553,NA
5100,France,1911,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00618,NA
5101,France,1912,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00695,NA
5102,France,1913,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00779,NA
5103,France,1919,FRA,OECD,0,937,2,0,0,1,NA,NA,NA,NA,NA,0.0102,NA
5104,France,1920,FRA,OECD,0,1062,0,2,0,1,NA,NA,NA,NA,NA,0.01119,NA
5105,France,1921,FRA,OECD,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.01257,NA
5106,France,1922,FRA,OECD,0,1312,0,2,0,1,NA,NA,NA,NA,NA,0.01332,NA
5107,France,1923,FRA,OECD,1,1500,0,0,0,0,NA,NA,NA,NA,NA,0.01451,NA
5108,France,1924,FRA,OECD,0,1500,1,0,1,1,NA,NA,NA,NA,NA,0.01572,NA
5109,France,1925,FRA,OECD,0,2875,4,0,3,0,NA,NA,NA,NA,NA,0.01745,NA
5110,France,1926,FRA,OECD,0,2375,4,1,1,0,NA,NA,NA,NA,NA,0.01936,NA
5111,France,1927,FRA,OECD,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.02073,NA
5112,France,1928,FRA,OECD,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.02263,NA
5113,France,1929,FRA,OECD,0,562,1,0,0,0,NA,NA,NA,NA,NA,0.02469,NA
5114,France,1930,FRA,OECD,0,2812,3,1,3,0,NA,NA,NA,NA,NA,0.02697,NA
5115,France,1931,FRA,OECD,0,250,0,0,2,0,NA,NA,NA,NA,NA,0.02832,NA
5116,France,1932,FRA,OECD,0,2312,2,0,3,1,NA,NA,NA,NA,NA,0.03086,NA
5117,France,1933,FRA,OECD,0,1937,5,0,1,0,NA,NA,NA,NA,NA,0.0322,NA
5118,France,1934,FRA,OECD,0,6250,16,0,4,0,NA,NA,NA,NA,NA,0.03337,NA
5119,France,1935,FRA,OECD,0,3125,8,0,3,0,NA,NA,NA,NA,NA,0.03435,NA
5120,France,1936,FRA,OECD,0,3062,5,2,2,0,NA,NA,NA,NA,NA,0.03536,NA
5121,France,1937,FRA,OECD,0,1375,2,0,0,0,NA,NA,NA,NA,NA,0.03682,NA
5122,France,1938,FRA,OECD,0,1250,0,1,0,0,NA,NA,0.1121,NA,NA,0.03789,NA
5123,France,1939,FRA,OECD,0,562,1,0,0,0,NA,NA,0.1195,NA,NA,0.04055,NA
5124,France,1946,FRA,OECD,0,812,1,0,0,0,NA,NA,0.1315,NA,0.294,0.04938,NA
5125,France,1947,FRA,OECD,4,12750,8,5,7,0,NA,NA,0.1398,NA,0.287,0.0516,NA
5126,France,1948,FRA,OECD,0,4437,11,2,0,0,NA,NA,0.148,NA,0.28,0.05412,NA
5127,France,1949,FRA,OECD,1,5625,3,1,4,1,NA,NA,0.1563,NA,0.273,0.05577,NA
5128,France,1950,FRA,OECD,1,4437,3,4,2,0,NA,NA,0.1643,NA,0.266,0.05738,NA
5129,France,1951,FRA,OECD,0,2812,3,2,1,0,NA,NA,0.1749,NA,0.259,0.05923,NA
5130,France,1952,FRA,OECD,1,4062,3,2,1,0,NA,NA,0.1852,NA,0.252,0.06101,NA
5131,France,1953,FRA,OECD,2,5312,3,2,1,0,NA,NA,0.1951,NA,0.245,0.0627,NA
5132,France,1954,FRA,OECD,0,375,0,0,1,0,NA,NA,0.1985,NA,0.238,0.0662,NA
5133,France,1955,FRA,OECD,0,1750,2,1,1,0,NA,NA,0.2143,NA,0.241,0.06955,NA
5134,France,1956,FRA,OECD,0,1812,5,0,0,0,NA,NA,0.2295,NA,0.244,0.07315,NA
5135,France,1957,FRA,OECD,0,1312,1,1,0,0,NA,NA,0.2441,NA,0.246,0.07657,NA
5136,France,1958,FRA,OECD,4,6875,3,0,1,1,NA,NA,0.2407,NA,0.248,0.0803,NA
5137,France,1959,FRA,OECD,1,2062,0,0,0,1,NA,NA,0.2373,NA,0.25,0.08704,NA
5138,France,1960,FRA,OECD,0,2812,5,0,4,0,NA,NA,0.2392,0.04143,0.252,0.09368,NA
5139,France,1961,FRA,OECD,7,10875,3,2,1,1,NA,NA,0.2793,0.05503,0.2502,0.10001,NA
5140,France,1962,FRA,OECD,8,12875,1,1,4,1,NA,NA,0.2866,0.07203,0.2485,0.1048,NA
5141,France,1963,FRA,OECD,0,2125,4,1,5,0,NA,NA,0.2977,0.09155,0.2467,0.11087,NA
5142,France,1964,FRA,OECD,0,0,0,0,0,0,NA,NA,0.3084,0.11148,0.245,0.11678,NA
5143,France,1965,FRA,OECD,0,312,0,0,0,1,NA,NA,0.3132,0.13255,0.2432,0.12285,NA
5144,France,1966,FRA,OECD,1,2812,3,2,1,0,NA,NA,0.3261,0.15131,0.2415,0.13063,NA
5145,France,1967,FRA,OECD,0,1000,2,1,1,0,NA,NA,0.3401,0.16724,0.251,0.14077,NA
5146,France,1968,FRA,OECD,0,5125,12,1,5,0,NA,NA,0.3543,0.18465,0.243,0.14975,NA
5147,France,1969,FRA,OECD,0,937,1,2,1,0,NA,NA,0.3705,0.20113,0.2405,0.16124,NA
5148,France,1970,FRA,OECD,3,6687,6,0,4,1,NA,NA,0.3856,0.216,0.238,0.17279,NA
5149,France,1971,FRA,OECD,0,1250,2,1,1,0,NA,NA,0.4011,0.22737,0.237,0.18622,NA
5150,France,1972,FRA,OECD,0,0,0,0,0,0,NA,NA,0.4176,0.2375,0.231,0.19996,NA
5151,France,1973,FRA,OECD,0,937,1,2,1,0,NA,NA,0.4349,0.2478,0.22,0.21747,NA
5152,France,1974,FRA,OECD,0,2250,4,3,2,0,NA,NA,0.4534,0.2582,0.217,0.23625,NA
5153,France,1975,FRA,OECD,1,2812,3,1,3,0,NA,NA,0.4747,0.2696,0.214,0.26269,NA
5154,France,1976,FRA,OECD,1,3312,2,1,3,1,NA,NA,0.52,0.2742,0.205,0.29412,NA
5155,France,1977,FRA,OECD,0,750,0,2,0,0,NA,NA,0.5668,0.28245,0.203,0.32988,NA
5156,France,1978,FRA,OECD,0,437,1,0,1,0,NA,NA,0.6206,0.28154,0.201,0.37259,NA
5157,France,1979,FRA,OECD,0,687,1,1,1,0,NA,NA,0.6787,0.32284,0.199,0.41534,NA
5158,France,1980,FRA,OECD,0,0,0,0,0,0,NA,NA,0.7445,0.32899,0.192,0.46066,NA
5159,France,1981,FRA,OECD,0,0,0,0,0,0,NA,NA,0.7689,0.33594,0.192,0.463,NA
5160,France,1982,FRA,OECD,0,250,0,1,0,0,NA,NA,0.7912,0.3412,0.192,0.46315,NA
5161,France,1983,FRA,OECD,0,2125,3,0,7,1,NA,NA,0.8165,0.34787,0.193,0.46535,NA
5162,France,1984,FRA,OECD,0,2125,1,1,10,1,NA,NA,0.8435,0.368,0.193,0.46756,NA
5163,France,1985,FRA,OECD,0,750,0,0,1,2,NA,NA,0.8701,0.38974,0.193,0.46978,NA
5164,France,1986,FRA,OECD,0,250,0,0,2,0,NA,NA,0.8748,0.39321,0.196,0.472,NA
5165,France,1987,FRA,OECD,0,250,0,1,0,0,NA,NA,0.8776,0.39485,0.2,0.47424,NA
5166,France,1988,FRA,OECD,0,250,0,1,0,0,NA,NA,0.8822,0.39824,0.203,0.47649,NA
5167,France,1989,FRA,OECD,0,0,0,0,0,0,NA,NA,0.8849,0.39982,0.206,0.47875,0.00334
5168,France,1990,FRA,OECD,0,875,1,0,2,1,NA,0.0706,0.8893,0.40258,0.208,0.02913,0.00274
5169,France,1991,FRA,OECD,0,2187,2,1,3,3,NA,0.0739,0.892,0.43516,0.2096,0.02903,0.00422
5170,France,1992,FRA,OECD,0,625,0,1,3,0,NA,0.1087,0.8946,0.47049,0.2113,0.02893,0.00649
5171,France,1993,FRA,OECD,0,250,0,0,2,0,NA,0.1171,0.8972,0.50872,0.2129,0.02883,0.00999
5172,France,1994,FRA,OECD,0,1750,3,0,4,1,NA,0.1358,0.8998,0.54981,0.2146,0.54413,0.01537
5173,France,1995,FRA,OECD,0,2250,2,3,7,0,NA,0.1475,0.9025,0.59444,0.2163,0.54829,0.02393
5174,France,1996,FRA,OECD,0,0,0,0,0,0,NA,0.1626,0.9512,0.59672,0.218,0.55248,0.04735
5175,France,1997,FRA,OECD,0,250,0,0,2,0,NA,0.1944,0.9532,0.59984,0.2197,0.55671,0.09371
5176,France,1998,FRA,OECD,0,375,0,0,3,0,NA,0.2322,0.9521,0.60105,0.2214,0.55922,0.32184
5177,France,1999,FRA,OECD,0,125,0,0,1,0,0.091767,0.268,0.9535,0.62373,0.2232,0.56427,0.36627
5178,France,2000,FRA,OECD,0,125,0,0,1,0,0.144327,0.3043,NA,0.62824,0.1421,0.5669,0.49329
5179,France,2001,FRA,OECD,0,0,0,0,0,0,0.264462,0.3379,NA,0.63357,0.157,0.57036,0.60691
5180,France,2002,FRA,OECD,0,562,0,1,0,1,0.313616,0.3469,NA,0.63675,0.1613,0.57197,0.64655
5181,France,2003,FRA,OECD,0,875,0,3,1,0,0.363951,0.4155,NA,0.63982,0.1613,0.56359,0.69303
5182,France,2004,FRA,OECD,0,1187,1,3,1,0,0.391159,0.4945,NA,NA,0.1641,0.5555,0.73418
5183,France,2005,FRA,OECD,0,1062,3,0,1,0,0.427567,0.5721,NA,NA,NA,0.551,0.78608
5184,France,2006,FRA,OECD,0,625,0,0,5,0,0.467497,0.6501,NA,NA,NA,0.55088,0.83959
5185,France,2007,FRA,OECD,0,937,3,0,0,0,0.658758,NA,NA,NA,NA,0.55721,0.89409
5186,France,2008,FRA,OECD,0,0,0,0,0,0,0.703804,NA,NA,NA,NA,0.56179,0.93052
5187,France,2009,FRA,OECD,0,625,0,2,1,0,0.712416,NA,NA,NA,NA,0.56514,0.95148
5188,France,2010,FRA,OECD,0,1062,1,1,4,0,0.827101,NA,NA,NA,NA,0.55891,1.0035
5189,France,2011,FRA,OECD,0,1,0,0,1,0,0.826201,NA,NA,NA,NA,NA,1.04749
5190,France,2012,FRA,OECD,0,562,1,0,2,0,0.857227,NA,NA,NA,NA,NA,NA
5191,France,2013,FRA,OECD,1,5438,9,0,11,0,NA,NA,NA,NA,NA,NA,NA
7430,Italy,1861,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7431,Italy,1862,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7432,Italy,1863,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7433,Italy,1864,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7434,Italy,1865,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7435,Italy,1866,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7436,Italy,1867,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7437,Italy,1868,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7438,Italy,1869,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7439,Italy,1870,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7440,Italy,1871,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7441,Italy,1872,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7442,Italy,1873,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7443,Italy,1874,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7444,Italy,1875,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7445,Italy,1876,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7446,Italy,1877,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7447,Italy,1878,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7448,Italy,1879,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7449,Italy,1880,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7450,Italy,1881,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7451,Italy,1882,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
7452,Italy,1883,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-05,NA
7453,Italy,1884,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00016,NA
7454,Italy,1885,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,NA
7455,Italy,1886,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00026,NA
7456,Italy,1887,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028,NA
7457,Italy,1888,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031,NA
7458,Italy,1889,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00034,NA
7459,Italy,1890,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00038,NA
7460,Italy,1891,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00042,NA
7461,Italy,1892,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00046,NA
7462,Italy,1893,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-04,NA
7463,Italy,1894,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00054,NA
7464,Italy,1895,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00057,NA
7465,Italy,1896,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00061,NA
7466,Italy,1897,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00064,NA
7467,Italy,1898,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00068,NA
7468,Italy,1899,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00072,NA
7469,Italy,1900,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00075,NA
7470,Italy,1901,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00079,NA
7471,Italy,1902,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00082,NA
7472,Italy,1903,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00086,NA
7473,Italy,1904,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00089,NA
7474,Italy,1905,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00093,NA
7475,Italy,1906,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00114,NA
7476,Italy,1907,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00135,NA
7477,Italy,1908,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00155,NA
7478,Italy,1909,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00175,NA
7479,Italy,1910,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00195,NA
7480,Italy,1911,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00234,NA
7481,Italy,1912,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00237,NA
7482,Italy,1913,ITA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00241,NA
7483,Italy,1919,ITA,OECD,4,7937,1,0,0,0,NA,NA,NA,NA,NA,0.00297,NA
7484,Italy,1920,ITA,OECD,3,5187,3,2,0,0,NA,NA,NA,NA,NA,0.00306,NA
7485,Italy,1921,ITA,OECD,5,9125,6,1,1,2,NA,NA,NA,NA,NA,0.00308,NA
7486,Italy,1922,ITA,OECD,1,6437,6,0,1,1,NA,NA,NA,NA,NA,0.00335,NA
7487,Italy,1923,ITA,OECD,0,1125,0,0,1,0,NA,NA,NA,NA,NA,0.00362,NA
7488,Italy,1924,ITA,OECD,0,2562,3,0,1,4,NA,NA,NA,NA,NA,0.00389,NA
7489,Italy,1925,ITA,OECD,0,3125,6,0,1,2,NA,NA,NA,NA,NA,0.00415,NA
